date,url,title,category,text_preprocessing
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048106/bagaimana-cara-mencegah-dan-menghindari-virus-corona,Bagaimana Cara Mencegah dan Menghindari Virus Corona?,health,cegah hindar virus corona
2020-10-06 00:00:00,https://health.detik.com/fotohealth/d-5048355/mengintip-protokol-kesehatan-di-laboratorium-umum,Mengintip Protokol Kesehatan di Laboratorium Umum,health,intip protokol sehat laboratorium
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5048016/masih-jauh-dari-selesai-pandemi-virus-corona-ibarat-mimpi-buruk,"Masih Jauh dari Selesai, Pandemi Virus Corona Ibarat 'Mimpi Buruk'",health,selesai pandemi virus corona mimpi buruk
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047969/rahasia-cantik-dr-reisa-broto-asmoro-jubir-baru-penanganan-covid-19,"Rahasia Cantik dr Reisa Broto Asmoro, Jubir Baru Penanganan COVID-19",health,rahasia cantik reisa broto asmoro jubir tangan covid
2020-10-06 00:00:00,https://health.detik.com/detiktv/d-5047898/protokol-kesehatan-yang-wajib-dilakukan-saat-bawa-anak-imunisasi,Protokol Kesehatan yang Wajib Dilakukan Saat Bawa Anak Imunisasi,health,protokol sehat wajib bawa anak imunisasi
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047891/masih-percaya-corona-tak-sebabkan-kematian-ini-data-kemenkes-ri,Masih Percaya Corona Tak Sebabkan Kematian? Ini Data Kemenkes RI,health,percaya corona sebab mati data kemenkes
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047811/ahli-ingatkan-bahaya-penyakit-pernapasan-lain-usai-lockdown-dicabut,Ahli Ingatkan Bahaya Penyakit Pernapasan Lain usai Lockdown Dicabut,health,ahli ingat bahaya sakit napas lockdown cabut
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047781/sepak-terjang-dr-reisa-jubir-baru-covid-19-yang-pernah-dalami-forensik,"Sepak Terjang dr Reisa, Jubir Baru COVID-19 yang Pernah Dalami Forensik",health,sepak terjang reisa jubir covid dalam forensik
2020-10-06 00:00:00,https://health.detik.com/detiktv/d-5047755/ingatkan-pentingnya-imunisasi-idai-jangan-sampai-double-outbreak,"Ingatkan Pentingnya Imunisasi, IDAI: Jangan Sampai Double Outbreak",health,ingat imunisasi ida double outbreak
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047743/riset-virus-corona-lebih-cepat-hilang-di-permukaan-saat-cuaca-panas,Riset: Virus Corona Lebih Cepat Hilang di Permukaan Saat Cuaca Panas,health,riset virus corona cepat hilang muka cuaca panas
2020-10-06 00:00:00,https://health.detik.com/infografis/d-5046763/senjata-hadapi-new-normal,Senjata Hadapi New Normal,health,senjata hadap new normal
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047708/4-tips-sehat-ala-dokter-cantik-reisa-broto-asmoro-jubir-baru-covid-19,4 Tips Sehat Ala Dokter Cantik Reisa Broto Asmoro Jubir Baru COVID-19,health,tips sehat ala dokter cantik reisa broto asmoro jubir covid
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047668/dituding-ambil-keuntungan-dari-pasien-covid-19-dokter-dan-rs-angkat-bicara,"Dituding Ambil Keuntungan dari Pasien COVID-19, Dokter dan RS Angkat Bicara",health,tuding ambil untung pasien covid dokter angkat bicara
2020-10-06 00:00:00,https://health.detik.com/kebugaran/d-5047622/pegowes-pemula-menjamur-di-era-new-normal-sepeda-lipat-banyak-diburu,"Pegowes Pemula Menjamur di Era New Normal, Sepeda Lipat Banyak Diburu",health,pegowes mula jamur era new normal sepeda lipat buru
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047576/studi-sebut-penggunaan-masker-bisa-cegah-gelombang-kedua-corona,Studi Sebut Penggunaan Masker Bisa Cegah Gelombang Kedua Corona,health,studi guna masker cegah gelombang corona
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047541/pasien-corona-disebut-paling-menular-saat-pertama-kali-merasa-tak-enak-badan,Pasien Corona Disebut Paling Menular Saat Pertama Kali Merasa Tak Enak Badan,health,pasien corona tular kali enak badan
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047493/reisa-broto-asmoro-bikin-adem-siaran-update-corona-setuju,"Reisa Broto Asmoro Bikin 'Adem' Siaran Update Corona, Setuju?",health,reisa broto asmoro bikin adem siar update corona tuju
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047459/eksperimen-ini-tunjukkan-betapa-cepat-virus-corona-menyebar-di-restoran,Eksperimen Ini Tunjukkan Betapa Cepat Virus Corona Menyebar di Restoran,health,eksperimen tunjuk betapa cepat virus corona sebar restoran
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047444/longgarkan-lockdown-brasil-catat-32-ribu-kasus-baru-corona-dalam-24-jam,"Longgarkan Lockdown, Brasil Catat 32 Ribu Kasus Baru Corona dalam 24 Jam",health,longgar lockdown brasil catat ribu corona jam
2020-10-06 00:00:00,https://health.detik.com/sexual-health/d-5047391/disarankan-dr-boyke-seks-saat-pandemi-corona-bantu-tingkatkan-imunitas,"Disarankan dr Boyke, Seks Saat Pandemi Corona Bantu Tingkatkan Imunitas",health,saran boyke seks pandemi corona bantu tingkat imunitas
2020-10-06 00:00:00,https://health.detik.com/diet/d-5047389/3-pantangan-sehabis-sarapan-jangan-dilanggar-kalau-mau-sehat,"3 Pantangan Sehabis Sarapan, Jangan Dilanggar kalau Mau Sehat",health,pantang habis sarap langgar sehat
2020-10-06 00:00:00,https://health.detik.com/infografis/d-5047387/lebih-sehat-mana-minum-air-hangat-atau-air-dingin,"Lebih Sehat Mana, Minum Air Hangat atau Air Dingin?",health,sehat minum air hangat air dingin
2020-10-06 00:00:00,https://health.detik.com/berita-detikhealth/d-5047384/kontroversi-terkini-who-penularan-virus-corona-pada-otg-jarang-terjadi,Kontroversi Terkini WHO: Penularan Virus Corona pada OTG Jarang Terjadi?,health,kontroversi kini who tular virus corona otg jarang
2020-10-06 00:00:00,https://health.detik.com/sexual-health/d-5047386/perlukah-pakai-masker-saat-bercinta-yuk-tanya-dokter-boyke,Perlukah Pakai Masker Saat Bercinta? Yuk Tanya Dokter Boyke,health,pakai masker cinta yuk dokter boyke
04/14/2020,https://health.detik.com/fotohealth/d-4977114/usai-masker-pelindung-wajah-juga-bisa-dibuat-sendiri-lho,"Usai Masker, Pelindung Wajah juga Bisa Dibuat Sendiri Lho",health,masker lindung wajah lho
04/14/2020,https://health.detik.com/true-story/d-4977048/positif-virus-corona-wanita-ini-melahirkan-dalam-keadaan-koma,"Positif Virus Corona, Wanita Ini Melahirkan dalam Keadaan Koma",health,positif virus corona wanita lahir koma
04/14/2020,https://health.detik.com/sexual-health/d-4977024/pasutri-perlu-tahu-ini-durasi-seks-yang-diinginkan-wanita-saat-bercinta,"Pasutri Perlu Tahu, Ini Durasi Seks yang Diinginkan Wanita Saat Bercinta",health,pasutri durasi seks wanita cinta
04/14/2020,https://health.detik.com/fotohealth/d-4976985/canggih-raisa-siap-bantu-tim-medis-tangani-pasien-corona,Canggih! RAISA Siap Bantu Tim Medis Tangani Pasien Corona,health,canggih raisa bantu tim medis tangan pasien corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976972/ahli-sarankan-mencuci-buah-dan-sayur-yang-dibeli-dari-supermarket,Ahli Sarankan Mencuci Buah dan Sayur yang Dibeli dari Supermarket,health,ahli saran cuci buah sayur beli supermarket
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976927/tak-hanya-demam-dan-batuk-ini-5-gejala-lain-saat-terinfeksi-virus-corona,"Tak Hanya Demam dan Batuk, Ini 5 Gejala Lain Saat Terinfeksi Virus Corona",health,demam batuk gejala infeksi virus corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976876/petinggi-who-virus-corona-10-kali-lebih-berbahaya-dari-flu-babi,Petinggi WHO: Virus Corona 10 Kali Lebih Berbahaya dari Flu Babi,health,petinggi who virus corona kali bahaya flu babi
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976844/tips-aman-belanja-di-supermarket-agar-tidak-terpapar-corona,Tips Aman Belanja di Supermarket Agar Tidak Terpapar Corona,health,tips aman belanja supermarket papar corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976819/sebaran-pasien-virus-corona-di-indonesia-426-sembuh-459-meninggal,"Sebaran Pasien Virus Corona di Indonesia, 426 Sembuh, 459 Meninggal",health,sebar pasien virus corona indonesia sembuh tinggal
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976788/459-meninggal-dari-4839-kasus-tingkat-kematian-corona-ri-948-persen,"459 Meninggal dari 4.839 Kasus, Tingkat Kematian Corona RI 9,48 Persen",health,tinggal tingkat mati corona persen
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976763/sebaran-282-kasus-baru-positif-corona-di-indonesia-14-april,Sebaran 282 Kasus Baru Positif Corona di Indonesia 14 April,health,sebar positif corona indonesia april
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976702/update-corona-di-indonesia-14-april-4839-positif-426-sembuh-459-meninggal,"Update Corona di Indonesia 14 April: 4.839 Positif, 426 Sembuh, 459 Meninggal",health,update corona indonesia april positif sembuh tinggal
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976658/who-sebut-tak-ada-bukti-pasien-kebal-corona-infeksi-kedua-bisa-terjadi,"WHO Sebut Tak Ada Bukti Pasien 'Kebal' Corona, Infeksi Kedua Bisa Terjadi",health,who bukti pasien kebal corona infeksi
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976556/cegah-penyebaran-corona-dian-sastro-ajak-masyarakat-pakai-masker-kain,"Cegah Penyebaran Corona, Dian Sastro Ajak Masyarakat Pakai Masker Kain",health,cegah sebar corona dian sastro ajak masyarakat pakai masker kain
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976479/viral-video-pengendara-motor-pakai-plastik-menutupi-kepala-cegah-corona,Viral Video Pengendara Motor Pakai Plastik Menutupi Kepala Cegah Corona,health,viral video kendara motor pakai plastik tutup kepala cegah corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976434/who-sebut-butuh-vaksin-untuk-bisa-hentikan-penyebaran-corona-sepenuhnya,WHO Sebut Butuh Vaksin untuk Bisa Hentikan Penyebaran Corona Sepenuhnya,health,who butuh vaksin henti sebar corona sepenuh
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976391/berisiko-picu-masalah-jantung-uji-klorokuin-untuk-obat-corona-dihentikan,"Berisiko Picu Masalah Jantung, Uji Klorokuin untuk Obat Corona Dihentikan",health,risiko picu jantung uji klorokuin obat corona henti
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976314/masak-di-rumah-aja-ini-3-resep-makanan-sehat-yang-bisa-dicoba,Masak di Rumah Aja? Ini 3 Resep Makanan Sehat yang Bisa Dicoba,health,masak rumah aja resep makan sehat coba
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976312/tio-pakusadewo-ditangkap-5-faktor-ini-bisa-bikin-pecandu-narkoba-kambuh,"Tio Pakusadewo Ditangkap, 5 Faktor Ini Bisa Bikin Pecandu Narkoba Kambuh",health,tio pakusadewo tangkap faktor bikin candu narkoba kambuh
04/14/2020,https://health.detik.com/fotohealth/d-4976271/tempat-tidur-kardus-untuk-penumpang-tunggu-hasil-test-corona,Tempat Tidur Kardus untuk Penumpang Tunggu Hasil Test Corona,health,tidur kardus tumpang tunggu hasil test corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976239/catatkan-108-kasus-baru-china-waspadai-gelombang-kedua-pandemi-corona,"Catatkan 108 Kasus Baru, China Waspadai Gelombang Kedua Pandemi Corona",health,catat china waspada gelombang pandemi corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976195/kata-dokter-soal-video-viral-diffuser-antiseptik-bisa-cegah-corona,Kata Dokter Soal Video Viral Diffuser Antiseptik Bisa Cegah Corona,health,dokter video viral diffuser antiseptik cegah corona
04/14/2020,https://health.detik.com/detiktv/d-4976193/jangan-percaya-ini-deretan-mitos-terkait-virus-corona,Jangan Percaya! Ini Deretan Mitos Terkait Virus Corona,health,percaya deret mitos kait virus corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976154/viral-video-warga-mamuju-berikan-semangat-pada-pasien-diduga-positif-corona,Viral Video Warga Mamuju Berikan Semangat pada Pasien Diduga Positif Corona,health,viral video warga mamuju semangat pasien duga positif corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976121/dokter-di-new-york-gunakan-obat-stroke-untuk-pasien-virus-corona,Dokter di New York Gunakan Obat Stroke untuk Pasien Virus Corona,health,dokter new york obat stroke pasien virus corona
04/14/2020,https://health.detik.com/berita-detikhealth/d-4976044/viral-selebgram-buat-cairan-diffuser-dengan-antiseptik-untuk-cegah-corona,Viral Selebgram Buat Cairan Diffuser dengan Antiseptik untuk Cegah Corona,health,viral selebgram cair diffuser antiseptik cegah corona
